,architecture,model_type,embeddings,hidden,num_layers,dropouts,bidirectional,learning_rate,epochs,dev_acc,dev_prec,dev_recall,metric
0,0,RNN,32,0.3333333333333333,1,0.5,False,0.01,10,0.864406779661017,,0.0,accuracy
1,0,RNN,32,0.3333333333333333,1,0.5,False,0.01,10,0.2711864406779661,0.1568627450980392,1.0,precision
2,0,RNN,32,0.3333333333333333,1,0.5,False,0.01,10,0.1864406779661017,0.14285714285714285,1.0,recall
3,1,RNN,32,0.3333333333333333,1,0.5,False,0.0001,10,0.847457627118644,0.0,0.0,accuracy
4,1,RNN,32,0.3333333333333333,1,0.5,False,0.0001,10,0.847457627118644,0.0,0.0,precision
5,1,RNN,32,0.3333333333333333,1,0.5,False,0.0001,10,0.847457627118644,0.0,0.0,recall
6,2,RNN,32,0.3333333333333333,1,0.5,True,0.01,10,0.7457627118644068,0.0,0.0,accuracy
7,2,RNN,32,0.3333333333333333,1,0.5,True,0.01,10,0.6610169491525424,0.2,0.5,precision
8,2,RNN,32,0.3333333333333333,1,0.5,True,0.01,10,0.1694915254237288,0.14035087719298245,1.0,recall
9,3,RNN,32,0.3333333333333333,1,0.5,True,0.0001,10,0.2711864406779661,0.14285714285714285,0.875,accuracy
10,3,RNN,32,0.3333333333333333,1,0.5,True,0.0001,10,0.2711864406779661,0.14285714285714285,0.875,precision
11,3,RNN,32,0.3333333333333333,1,0.5,True,0.0001,10,0.2542372881355932,0.14,0.875,recall
12,4,RNN,32,0.3333333333333333,1,0.75,False,0.01,10,0.7966101694915254,0.16666666666666666,0.125,accuracy
13,4,RNN,32,0.3333333333333333,1,0.75,False,0.01,10,0.5932203389830508,0.23333333333333334,0.875,precision
14,4,RNN,32,0.3333333333333333,1,0.75,False,0.01,10,0.2711864406779661,0.1568627450980392,1.0,recall
15,5,RNN,32,0.3333333333333333,1,0.75,False,0.0001,10,0.7796610169491526,0.14285714285714285,0.125,accuracy
16,5,RNN,32,0.3333333333333333,1,0.75,False,0.0001,10,0.7796610169491526,0.14285714285714285,0.125,precision
17,5,RNN,32,0.3333333333333333,1,0.75,False,0.0001,10,0.7796610169491526,0.14285714285714285,0.125,recall
18,6,RNN,32,0.3333333333333333,1,0.75,True,0.01,10,0.7627118644067796,0.0,0.0,accuracy
19,6,RNN,32,0.3333333333333333,1,0.75,True,0.01,10,0.13559322033898305,0.13559322033898305,1.0,precision
20,6,RNN,32,0.3333333333333333,1,0.75,True,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
21,7,RNN,32,0.3333333333333333,1,0.75,True,0.0001,10,0.7966101694915254,0.16666666666666666,0.125,accuracy
22,7,RNN,32,0.3333333333333333,1,0.75,True,0.0001,10,0.7966101694915254,0.16666666666666666,0.125,precision
23,7,RNN,32,0.3333333333333333,1,0.75,True,0.0001,10,0.7966101694915254,0.16666666666666666,0.125,recall
24,8,RNN,32,0.3333333333333333,2,0.5,False,0.01,10,0.864406779661017,,0.0,accuracy
25,8,RNN,32,0.3333333333333333,2,0.5,False,0.01,10,0.2542372881355932,0.15384615384615385,1.0,precision
26,8,RNN,32,0.3333333333333333,2,0.5,False,0.01,10,0.2542372881355932,0.15384615384615385,1.0,recall
27,9,RNN,32,0.3333333333333333,2,0.5,False,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,accuracy
28,9,RNN,32,0.3333333333333333,2,0.5,False,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,precision
29,9,RNN,32,0.3333333333333333,2,0.5,False,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,recall
30,10,RNN,32,0.3333333333333333,2,0.5,True,0.01,10,0.864406779661017,,0.0,accuracy
31,10,RNN,32,0.3333333333333333,2,0.5,True,0.01,10,0.8305084745762712,0.25,0.125,precision
32,10,RNN,32,0.3333333333333333,2,0.5,True,0.01,10,0.2033898305084746,0.14545454545454545,1.0,recall
33,11,RNN,32,0.3333333333333333,2,0.5,True,0.0001,10,0.7627118644067796,0.125,0.125,accuracy
34,11,RNN,32,0.3333333333333333,2,0.5,True,0.0001,10,0.2033898305084746,0.14545454545454545,1.0,precision
35,11,RNN,32,0.3333333333333333,2,0.5,True,0.0001,10,0.2033898305084746,0.14545454545454545,1.0,recall
36,12,RNN,32,0.3333333333333333,2,0.75,False,0.01,10,0.864406779661017,,0.0,accuracy
37,12,RNN,32,0.3333333333333333,2,0.75,False,0.01,10,0.8135593220338984,0.2,0.125,precision
38,12,RNN,32,0.3333333333333333,2,0.75,False,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
39,13,RNN,32,0.3333333333333333,2,0.75,False,0.0001,10,0.1694915254237288,0.14035087719298245,1.0,accuracy
40,13,RNN,32,0.3333333333333333,2,0.75,False,0.0001,10,0.1694915254237288,0.14035087719298245,1.0,precision
41,13,RNN,32,0.3333333333333333,2,0.75,False,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,recall
42,14,RNN,32,0.3333333333333333,2,0.75,True,0.01,10,0.864406779661017,,0.0,accuracy
43,14,RNN,32,0.3333333333333333,2,0.75,True,0.01,10,0.6610169491525424,0.22727272727272727,0.625,precision
44,14,RNN,32,0.3333333333333333,2,0.75,True,0.01,10,0.22033898305084745,0.14814814814814814,1.0,recall
45,15,RNN,32,0.3333333333333333,2,0.75,True,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,accuracy
46,15,RNN,32,0.3333333333333333,2,0.75,True,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,precision
47,15,RNN,32,0.3333333333333333,2,0.75,True,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,recall
48,16,RNN,32,0.6666666666666666,1,0.5,False,0.01,10,0.847457627118644,0.3333333333333333,0.125,accuracy
49,16,RNN,32,0.6666666666666666,1,0.5,False,0.01,10,0.847457627118644,0.3333333333333333,0.125,precision
50,16,RNN,32,0.6666666666666666,1,0.5,False,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
51,17,RNN,32,0.6666666666666666,1,0.5,False,0.0001,10,0.864406779661017,,0.0,accuracy
52,17,RNN,32,0.6666666666666666,1,0.5,False,0.0001,10,0.864406779661017,,0.0,precision
53,17,RNN,32,0.6666666666666666,1,0.5,False,0.0001,10,0.864406779661017,,0.0,recall
54,18,RNN,32,0.6666666666666666,1,0.5,True,0.01,10,0.847457627118644,0.3333333333333333,0.125,accuracy
55,18,RNN,32,0.6666666666666666,1,0.5,True,0.01,10,0.847457627118644,0.3333333333333333,0.125,precision
56,18,RNN,32,0.6666666666666666,1,0.5,True,0.01,10,0.2033898305084746,0.14545454545454545,1.0,recall
57,19,RNN,32,0.6666666666666666,1,0.5,True,0.0001,10,0.8305084745762712,0.0,0.0,accuracy
58,19,RNN,32,0.6666666666666666,1,0.5,True,0.0001,10,0.8305084745762712,0.0,0.0,precision
59,19,RNN,32,0.6666666666666666,1,0.5,True,0.0001,10,0.8305084745762712,0.0,0.0,recall
60,20,RNN,32,0.6666666666666666,1,0.75,False,0.01,10,0.7288135593220338,0.16666666666666666,0.25,accuracy
61,20,RNN,32,0.6666666666666666,1,0.75,False,0.01,10,0.5423728813559322,0.1935483870967742,0.75,precision
62,20,RNN,32,0.6666666666666666,1,0.75,False,0.01,10,0.3728813559322034,0.17777777777777778,1.0,recall
63,21,RNN,32,0.6666666666666666,1,0.75,False,0.0001,10,0.847457627118644,0.3333333333333333,0.125,accuracy
64,21,RNN,32,0.6666666666666666,1,0.75,False,0.0001,10,0.847457627118644,0.3333333333333333,0.125,precision
65,21,RNN,32,0.6666666666666666,1,0.75,False,0.0001,10,0.847457627118644,0.3333333333333333,0.125,recall
66,22,RNN,32,0.6666666666666666,1,0.75,True,0.01,10,0.847457627118644,0.3333333333333333,0.125,accuracy
67,22,RNN,32,0.6666666666666666,1,0.75,True,0.01,10,0.847457627118644,0.3333333333333333,0.125,precision
68,22,RNN,32,0.6666666666666666,1,0.75,True,0.01,10,0.2033898305084746,0.14545454545454545,1.0,recall
69,23,RNN,32,0.6666666666666666,1,0.75,True,0.0001,10,0.847457627118644,0.0,0.0,accuracy
70,23,RNN,32,0.6666666666666666,1,0.75,True,0.0001,10,0.847457627118644,0.0,0.0,precision
71,23,RNN,32,0.6666666666666666,1,0.75,True,0.0001,10,0.847457627118644,0.0,0.0,recall
72,24,RNN,32,0.6666666666666666,2,0.5,False,0.01,10,0.864406779661017,,0.0,accuracy
73,24,RNN,32,0.6666666666666666,2,0.5,False,0.01,10,0.7627118644067796,0.2,0.25,precision
74,24,RNN,32,0.6666666666666666,2,0.5,False,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
75,25,RNN,32,0.6666666666666666,2,0.5,False,0.0001,10,0.1694915254237288,0.14035087719298245,1.0,accuracy
76,25,RNN,32,0.6666666666666666,2,0.5,False,0.0001,10,0.1694915254237288,0.14035087719298245,1.0,precision
77,25,RNN,32,0.6666666666666666,2,0.5,False,0.0001,10,0.1694915254237288,0.14035087719298245,1.0,recall
78,26,RNN,32,0.6666666666666666,2,0.5,True,0.01,10,0.864406779661017,0.5,0.125,accuracy
79,26,RNN,32,0.6666666666666666,2,0.5,True,0.01,10,0.864406779661017,0.5,0.125,precision
80,26,RNN,32,0.6666666666666666,2,0.5,True,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
81,27,RNN,32,0.6666666666666666,2,0.5,True,0.0001,10,0.6949152542372882,0.0,0.0,accuracy
82,27,RNN,32,0.6666666666666666,2,0.5,True,0.0001,10,0.15254237288135594,0.13793103448275862,1.0,precision
83,27,RNN,32,0.6666666666666666,2,0.5,True,0.0001,10,0.15254237288135594,0.13793103448275862,1.0,recall
84,28,RNN,32,0.6666666666666666,2,0.75,False,0.01,10,0.847457627118644,0.0,0.0,accuracy
85,28,RNN,32,0.6666666666666666,2,0.75,False,0.01,10,0.5254237288135594,0.16666666666666666,0.625,precision
86,28,RNN,32,0.6666666666666666,2,0.75,False,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
87,29,RNN,32,0.6666666666666666,2,0.75,False,0.0001,10,0.15254237288135594,0.13793103448275862,1.0,accuracy
88,29,RNN,32,0.6666666666666666,2,0.75,False,0.0001,10,0.15254237288135594,0.13793103448275862,1.0,precision
89,29,RNN,32,0.6666666666666666,2,0.75,False,0.0001,10,0.15254237288135594,0.13793103448275862,1.0,recall
90,30,RNN,32,0.6666666666666666,2,0.75,True,0.01,10,0.8813559322033898,1.0,0.125,accuracy
91,30,RNN,32,0.6666666666666666,2,0.75,True,0.01,10,0.8813559322033898,1.0,0.125,precision
92,30,RNN,32,0.6666666666666666,2,0.75,True,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
93,31,RNN,32,0.6666666666666666,2,0.75,True,0.0001,10,0.8813559322033898,1.0,0.125,accuracy
94,31,RNN,32,0.6666666666666666,2,0.75,True,0.0001,10,0.8813559322033898,1.0,0.125,precision
95,31,RNN,32,0.6666666666666666,2,0.75,True,0.0001,10,0.8813559322033898,1.0,0.125,recall
96,32,RNN,64,0.3333333333333333,1,0.5,False,0.01,10,0.864406779661017,,0.0,accuracy
97,32,RNN,64,0.3333333333333333,1,0.5,False,0.01,10,0.576271186440678,0.16,0.5,precision
98,32,RNN,64,0.3333333333333333,1,0.5,False,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
99,33,RNN,64,0.3333333333333333,1,0.5,False,0.0001,10,0.711864406779661,0.09090909090909091,0.125,accuracy
100,33,RNN,64,0.3333333333333333,1,0.5,False,0.0001,10,0.23728813559322035,0.1509433962264151,1.0,precision
101,33,RNN,64,0.3333333333333333,1,0.5,False,0.0001,10,0.23728813559322035,0.1509433962264151,1.0,recall
102,34,RNN,64,0.3333333333333333,1,0.5,True,0.01,10,0.864406779661017,,0.0,accuracy
