,architecture,embeddings,hidden,dropouts,learning_rate,epochs,dev_acc,dev_prec,dev_recall,metric
0,0,Law2Vec,10,0,0.01,10,0.864406779661017,,0.0,accuracy
1,0,Law2Vec,10,0,0.01,10,0.13559322033898305,0.13559322033898305,1.0,precision
2,0,Law2Vec,10,0,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
3,1,Law2Vec,10,0,0.001,10,0.8305084745762712,0.0,0.0,accuracy
4,1,Law2Vec,10,0,0.001,10,0.7796610169491526,0.2727272727272727,0.375,precision
5,1,Law2Vec,10,0,0.001,10,0.13559322033898305,0.13559322033898305,1.0,recall
6,2,Law2Vec,10,0,0.0001,10,0.6610169491525424,0.16666666666666666,0.375,accuracy
7,2,Law2Vec,10,0,0.0001,10,0.6101694915254238,0.17391304347826086,0.5,precision
8,2,Law2Vec,10,0,0.0001,10,0.5932203389830508,0.16666666666666666,0.5,recall
9,3,Law2Vec,10,0.1,0.01,10,0.864406779661017,,0.0,accuracy
10,3,Law2Vec,10,0.1,0.01,10,0.13559322033898305,0.13559322033898305,1.0,precision
11,3,Law2Vec,10,0.1,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
12,4,Law2Vec,10,0.1,0.001,10,0.864406779661017,,0.0,accuracy
13,4,Law2Vec,10,0.1,0.001,10,0.8135593220338984,0.2,0.125,precision
14,4,Law2Vec,10,0.1,0.001,10,0.22033898305084745,0.1346153846153846,0.875,recall
15,5,Law2Vec,10,0.1,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,accuracy
16,5,Law2Vec,10,0.1,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,precision
17,5,Law2Vec,10,0.1,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,recall
18,6,Law2Vec,10,0.25,0.01,10,0.864406779661017,,0.0,accuracy
19,6,Law2Vec,10,0.25,0.01,10,0.13559322033898305,0.13559322033898305,1.0,precision
20,6,Law2Vec,10,0.25,0.01,10,0.13559322033898305,0.13559322033898305,1.0,recall
21,7,Law2Vec,10,0.25,0.001,10,0.7796610169491526,0.2222222222222222,0.25,accuracy
22,7,Law2Vec,10,0.25,0.001,10,0.7796610169491526,0.2222222222222222,0.25,precision
23,7,Law2Vec,10,0.25,0.001,10,0.13559322033898305,0.13559322033898305,1.0,recall
24,8,Law2Vec,10,0.25,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,accuracy
25,8,Law2Vec,10,0.25,0.0001,10,0.13559322033898305,0.13559322033898305,1.0,precision
